No.,Nama Aktiva Tetap,NO SAP,Lokasi (Dist.Rule),Qty,Useful Life (Month),Useful Life (Year),acquisition Date,acquisition Year,Total Acquisision value,Kategori
594,IP IR Dome Camera (WID320) - CCTV Camera untuk CPF Lt 2 - 9CPF,300364,9CPF,,48,4,17-Sep-19,2019," 2,100,000 ",Equipment
595,IP Weatherproof Camera (WIW320) - CCTV Camera untuk ruang HPP - 9CPF,300365,9CPF,1,48,4,17-Sep-19,2019," 2,100,000 ",Equipment
596,Network Video Recorder (WN162) - NVR untuk CPF Lt 2 - 9CPF,300366,9CPF,1,48,4,17-Sep-19,2019," 12,500,000 ",Equipment
597,Switch Hub PoE 8 Port (POE108L) - Switch untuk CPF Lt 2 - 9CPF,300367,9CPF,,48,4,17-Sep-19,2019," 1,800,000 ",Equipment
598,Switch Hub PoE 8 Port (POE108L) - Switch untuk CPF Lt 2,300368,9CPF,,48,4,17-Sep-19,2019," 1,800,000 ",Equipment
599,Switch Hub PoE 4 Port (POG624G) - Switch untuk ruang HPP - 9CPF,300369,9CPF,1,48,4,17-Sep-19,2019," 1,370,000 ",Equipment
600,Switch Hub PoE 8 Port Gigabit - Switch untuk CPF Lt 2 - 9CPF,300370,9CPF,1,48,4,17-Sep-19,2019," 1,840,000 ",Equipment
601,Hardisk Surveillance for CCTV 2 TB - Hdd untuk NVR CPF Lt 2 - 9CPF,300371,9CPF,1,48,4,17-Sep-19,2019," 1,305,000 ",Equipment
602,Hardisk Surveillance for CCTV 2 TB - Hdd untuk NVR CPF Lt 2 - 9CPF,300372,9CPF,1,48,4,17-Sep-19,2019," 1,305,000 ",Equipment
603,IP Weatherproof Camera (WIW320) - CCTV area Parkir - 9CPF,300378,9CPF,1,48,4,23-Sep-19,2019," 2,100,000 ",Equipment
604,Juice Filling Machine #1 - 9CPF,300379,9CPF,1,96,8,18-Sep-19,2019," 276,000,000 ",Equipment
605,Juice Filling Machine #2 - 9CPF,300380,9CPF,1,96,8,18-Sep-19,2019," 276,000,000 ",Equipment
606,Flood Light LED 200W - 9CPF,300381,9CPF,1,48,4,12-Sep-19,2019," 1,017,455 ",Equipment
607,"32 Set CCTV, Recoder, Switch, HD  - 9CPF",300396,9CPF,1,48,4,30-Sep-19,2019," 134,695,400 ",Equipment
608,Instalasi CCTV lt. 2 & HPP  - 9CPF,300397,9CPF,1,48,4,30-Sep-19,2019," 13,450,400 ",Equipment
609,Roller Belt & Black Belt for Labeling Machine - 9CPF,300348,9CPF,1,48,4,21-Oct-19,2019," 3,100,000 ",Equipment
610,Power Board - Memmert Universal Oven UN 30 (sub FA 300043) - CPF,300395,9CPF,1,48,4,31-Oct-19,2019," 5,004,800 ",Equipment
611,"Motor for Replacement ""KARCHER"" HD 5/12 C - 9CPF",300373,9CPF,1,48,4,26-Nov-19,2019," 4,309,500 ",Equipment
612,"Layar Proyektor ScreenView Pull Down Manual 120 Inch ""MWSSV3030L""  (R.Training) - 9CPF",300403,9CPF,1,48,4,20-Nov-19,2019," 3,490,000 ",Equipment
613,"LAKONI Compressor Oilless 1 HP, 1450RPM - 9CPF",300404,9CPF,,48,4,29-Nov-19,2019," 1,200,000 ",Equipment
614,SHARP 2 Door Refrigerator Silver - 9CPF,300405,9CPF,,48,4,26-Dec-19,2019," 2,954,546 ",Equipment
615,BALANZA - Timbangan Digital 60kg - 9CPF,300398,9CPF,,48,4,9-Dec-19,2019," 4,116,000 ",Equipment
616,BALANZA - Timbangan Digital 60kg - 9CPF,300399,9CPF,1,48,4,9-Dec-19,2019," 4,116,000 ",Equipment
617,Water Container Stainless Steel 120L - 9CPF,300400,9CPF,1,48,4,19-Dec-19,2019," 3,422,500 ",Equipment
618,Trolley Water Container Stainless Steel 120L - 9CPF,300401,9CPF,1,48,4,19-Dec-19,2019," 2,497,500 ",Equipment
619,Water Container Stainless Steel 58L - 9CPF,300402,9CPF,1,48,4,19-Dec-19,2019," 2,590,000 ",Equipment
620,Long range POE switch PoE 6 Port (POE642LA) +material - Parkiran motor - 9CPF,300394,9CPF,1,48,4,17-Dec-19,2019," 1,178,800 ",Equipment
621,Memmert incubator IN110 cap 108 liter - 9OPS,300407,9CPF,1,48,4,28-Jan-20,2020," 31,402,741 ",Equipment
622,ORION Star A215 pH/Conductivity Meter Benchtop - 9OPS,300408,9CPF,1,48,4,28-Jan-20,2020," 29,375,725 ",Equipment
623,HACH DR 900 Colorimeter HandHeld - 9OPS,300409,9CPF,1,48,4,28-Jan-20,2020," 26,114,680 ",Equipment
624,HACH 2100Q Turbidimeter - 9OPS,300410,9CPF,1,48,4,28-Jan-20,2020," 22,704,701 ",Equipment
625,Chlorine Meter and Dosing System Pump with Tank - 9CPF,300412,9CPF,1,96,8,28-Jan-20,2020," 121,000,000 ",Equipment
626,Water Treatment Plant (PIPING HDPE) - 9CPF (sub FA 300340),300413,9CPF,1,96,8,28-Jan-20,2020," 11,190,000 ",Equipment
627,OHAUS Pioneer Precision PX2202/E - 9QAC,300411,9QAC,1,48,4,21-Jan-20,2020," 13,668,800 ",Equipment
628,NILFISK - HIGH PRESSURE COLD C110E - 9CPF,300414,9CPF,1,48,4,29-Feb-20,2020," 14,662,500 ",Equipment
629,BALANZA - Timbangan Digital 60kg - 9CPF (addition FA 300398),300416,9CPF,1,48,4,1-Feb-20,2020," 1,134,000 ",Equipment
630,BALANZA - Timbangan Digital 60kg - 9CPF (addition FA 300399),300417,9CPF,1,48,4,1-Feb-20,2020," 1,134,000 ",Equipment
631,"AScreen Interactive Flat Panel 65"" - 9CPF",300415,9CPF,1,48,4,16-Mar-20,2020," 30,000,000 ",Equipment
632,Thermometer Infrared - 9CPF,300418,9CPF,1,48,4,31-Mar-20,2020," 1,272,727 ",Equipment
633,Thermometer Infrared - 9CPF,300419,9CPF,1,48,4,31-Mar-20,2020," 1,272,727 ",Equipment
634,DISENFECTAN BOX TYPE 10413190 UK. 1x1x2m - 9CPF,300420,9CPF,1,48,4,1-Jul-20,2020," 18,500,000 ",Equipment
635,XL Motor Kit 220V - 9CPF,300425,9CPF,1,48,4,30-Oct-20,2020," 9,344,000 ",Equipment
636,XL Motor Kit 220V - 9CPF,300426,9CPF,1,48,4,30-Oct-20,2020," 9,344,000 ",Equipment
637,SHARP - Air Purifier Tipe FP-J80Y-H - 9CPF,300421,9CPF,1,48,4,25-Nov-20,2020," 3,805,300 ",Equipment
638,SHARP - Air Purifier Tipe FP-J80Y-H - 9CPF,300422,9CPF,1,48,4,25-Nov-20,2020," 3,805,300 ",Equipment
639,SHARP - Air Purifier Tipe FP-J60Y-W/H - 9CPF,300423,9CPF,1,48,4,25-Nov-20,2020," 3,086,900 ",Equipment
640,SHARP - Air Purifier Tipe FP-J60Y-W/H - 9CPF,300424,9CPF,1,48,4,25-Nov-20,2020," 3,086,900 ",Equipment
641,1 unit ink core without pump VJ1510 s/n 17356004C11ZH,300427,9CPF,1,48,4,9-Nov-20,2020," 20,343,960 ",Equipment
642,NB Acer Aspire 5 i3 (A514-53) + Windows 10 Pro + tambahan RAM 4GB - 9QAC,300428,9CPF,1,48,4,23-Dec-20,2020," 9,855,000 ",Equipment
643,"Hand Pallet ""HELI HPT 30"" - 9CPF",300429,9CPF,1,48,4,31-Jan-21,2021," 4,000,000 ",Equipment
644,Gelgoog - Peanut Butter Grinder Machine (GGJMS-80),300430,9CPF,1,48,4,30-Mar-21,2021," 31,858,222 ",Equipment
645,Dixell - Temperature Controller XR60CX 5N1C1 - 9CPF,300440,9CPF,1,48,4,26-Apr-21,2021," 1,250,000 ",Equipment
646,Dixell - Temperature Controller XR60CX 5N1C1 - 9CPF,300441,9CPF,1,48,4,26-Apr-21,2021," 1,250,000 ",Equipment
647,Pompa Reagen Softener Type Chl 2-20,300431,9CPF,1,48,4,30-May-21,2021," 3,115,688 ",Equipment
