,,,,,,,,,,,,,
No.,Fix Asset Name,NO SAP,Lokasi (Dist.Rule),Qty,Useful Life (Month),Useful Life (Year),acquisition Date,acquisition Year,Total Acquisision value,Category,Disposal date,Year Of Disposal,Amount Deduction
140,Printer HP type Laserjet P1102 - CPF,300460,9CPF,,48,4,Jan-16,2016," 1,089,000 ",Equipment,30-Jun-18,2018," 1,089,000 "
141,Air Curtain Panasonic 90 FY ESN #1 - CPF,300461,9CPF,,96,8,Apr-16,2016," 9,262,500 ",Equipment,30-Jun-18,2018," 9,262,500 "
142,Air Curtain Panasonic 90 FY ESN #2 - CPF,300463,9CPF,,96,8,Apr-16,2016," 9,262,500 ",Equipment,30-Jun-18,2018," 9,262,500 "
143,Chiller Cabinet MGUR-120 size :1200x740x1955 955 mm #1 - CPF,300464,CPF,,48,4,Mar-16,2016," 21,361,725 ",Equipment,30-Jun-18,2018," 21,361,725 "
144,Chiller Cabinet MGUR-120 size :1200x740x1955 955 mm #2 - CPF,300465,CPF,,48,4,Mar-16,2016," 21,361,725 ",Equipment,30-Jun-18,2018," 21,361,725 "
145,"Rak Gudang Medium Duty RR 36( 200 x 60 x 200 cm, 4 Level ) #1 - CPF",300467,CPF,,96,8,Apr-16,2016," 2,751,230 ",Equipment,30-Jun-18,2018," 2,751,230 "
146,"Rak Gudang Medium Duty RR 36( 200 x 60 x 200 cm, 4 Level ) #2 - CPF",300468,CPF,,96,8,Apr-16,2016," 2,751,230 ",Equipment,30-Jun-18,2018," 2,751,230 "
147,"Rak Gudang Medium Duty AZ 250 ( 100 x 60 x 200 cm, 4 Level ) - CPF1",300469,CPF,,96,8,Apr-16,2016," 1,897,400 ",Equipment,30-Jun-18,2018," 1,897,400 "
148,Air Curtain Panasonic 90 FY ESN #3 - CPF,300474,9CPF,,48,4,Apr-16,2016," 9,262,500 ",Equipment,30-Jun-18,2018," 9,262,500 "
149,Air Curtain Panasonic 120 FY ESN #1 - CPF,300475,9CPF,,48,4,Apr-16,2016," 12,187,500 ",Equipment,30-Jun-18,2018," 12,187,500 "
150,"Sonic Type SGW-BS 7000SS 30x40 cm, Waterproof (Taiwan) #1 - CPF",300502,9CPF,,32,2.7,Mar-16,2016," 8,047,500 ",Equipment,30-Jun-18,2018," 8,047,500 "
151,"Sonic Type SGW-BS 7000SS 30x40 cm, Waterproof (Taiwan) #2 - CPF",300503,9CPF,,32,2.7,Mar-16,2016," 8,047,500 ",Equipment,30-Jun-18,2018," 8,047,500 "
152,Sonic Type 3S Waterproof (Taiwan)- CPF,300504,9CPF,,32,2.7,Mar-16,2016," 3,567,500 ",Equipment,30-Jun-18,2018," 3,567,500 "
153,Sonic Precision Balance SS A-2000 - CPF,300505,9CPF,,32,2.7,Mar-16,2016," 3,087,500 ",Equipment,30-Jun-18,2018," 3,087,500 "
154,Water Boiler SS HJ-100D 272215 - CPF,300506,9CPF,,48,4,Apr-16,2016," 849,000 ",Equipment,30-Jun-18,2018," 849,000 "
155,TV LED 49 inchi merk PANASONIC type 49C305 - CPF,300510,CPF,,48,4,May-16,2016," 7,200,000 ",Equipment,30-Jun-18,2018," 7,200,000 "
156,HIGH PRESSURE CLEANER 100BAR 1300WATT (KW1800723) 2 - CPF,300511,CPF,,48,4,Jun-16,2016," 1,119,000 ",Equipment,30-Jun-18,2018," 1,119,000 "
157,Aruba Access Point 103 #1 - CPF,300525,CPF,,48,4,Jun-16,2016," 5,259,969 ",Equipment,30-Jun-18,2018," 5,259,969 "
158,"TV LED Sharp Full HD 50"" Blacktype LC-50LE275X #1 - HO Sequis",300541,9HOC,,48,4,Jun-16,2016," 7,572,600 ",Equipment,19-Jul-19,2019," 7,572,600 "
159,"TV LED Sharp Full HD 50"" Blacktype LC-50LE275X #2 - HO Sequis",300542,9HOC,,48,4,Jun-16,2016," 7,572,600 ",Equipment,19-Jul-19,2019," 7,572,600 "
